filename,width,height,class,xmin,ymin,xmax,ymax
QPS2.jpg,0,0,shift,369,57,405,89
QPS2.jpg,0,0,shift,402,54,438,86
QPS2.jpg,0,0,shift,447,56,483,88
QPS2.jpg,0,0,shift,611,56,640,87
QPS3.jpg,0,0,shift,73,57,106,87
QPS3.jpg,0,0,shift,120,55,153,85
QPS3.jpg,0,0,shift,204,55,237,85
QPS3.jpg,0,0,shift,236,54,269,84
QPS3.jpg,0,0,shift,267,55,300,85
QPS3.jpg,0,0,shift,298,55,331,85
QPS3.jpg,0,0,shift,330,55,363,85
QPS3.jpg,0,0,shift,361,54,394,84
QPS3.jpg,0,0,shift,453,55,486,85
QPS3.jpg,0,0,shift,430,129,463,159
QPS3.jpg,0,0,shift,488,56,521,86
QPS3.jpg,0,0,shift,519,55,552,85
QPS4.jpg,0,0,shift,110,199,141,227
QPS4.jpg,0,0,shift,566,4,597,32
QPS4.jpg,0,0,shift,153,198,184,226
QPS4.jpg,0,0,shift,193,197,224,225
QPS4.jpg,0,0,shift,234,197,265,225
QPS4.jpg,0,0,shift,275,196,306,224
QPS4.jpg,0,0,shift,317,197,348,225
QPS4.jpg,0,0,shift,356,196,387,224
QPS4.jpg,0,0,shift,398,196,429,224
QPS4.jpg,0,0,shift,439,196,470,224
QPS4.jpg,0,0,shift,479,196,510,224
QPS4.jpg,0,0,shift,520,195,551,223
QPS4.jpg,0,0,shift,560,195,591,223
QPS4.jpg,0,0,shift,541,238,572,266
QPS4.jpg,0,0,shift,500,237,531,265
QPS4.jpg,0,0,shift,459,236,490,264
QPS4.jpg,0,0,shift,379,238,410,266
QPS4.jpg,0,0,shift,336,239,367,267
QPS4.jpg,0,0,shift,295,237,326,265
QPS4.jpg,0,0,shift,212,240,246,268
QPS4.jpg,0,0,shift,172,239,206,267
QPS4.jpg,0,0,shift,129,240,163,268
QPS4.jpg,0,0,shift,109,280,143,308
QPS4.jpg,0,0,shift,151,280,185,308
QPS4.jpg,0,0,shift,191,279,225,307
QPS4.jpg,0,0,shift,233,280,267,308
QPS4.jpg,0,0,shift,273,279,307,307
QPS4.jpg,0,0,shift,314,279,348,307
QPS4.jpg,0,0,shift,354,280,388,308
QPS4.jpg,0,0,shift,396,279,430,307
QPS4.jpg,0,0,shift,437,279,471,307
QPS4.jpg,0,0,shift,479,279,513,307
QPS4.jpg,0,0,shift,520,278,554,306
QPS4.jpg,0,0,shift,562,279,596,307
QPS4.jpg,0,0,shift,79,394,113,422
QPS4.jpg,0,0,shift,42,395,76,423
QPS4.jpg,0,0,shift,11,395,45,423
QPSNO1.jpg,0,0,normal,102,54,134,87
QPSNO1.jpg,0,0,normal,133,53,165,86
QPSNO1.jpg,0,0,normal,164,53,196,86
QPSNO1.jpg,0,0,normal,195,53,227,86
QPSNO1.jpg,0,0,normal,226,53,258,86
QPSNO1.jpg,0,0,normal,257,53,289,86
QPSNO1.jpg,0,0,normal,288,53,320,86
QPSNO1.jpg,0,0,normal,320,53,352,86
QPSNO1.jpg,0,0,normal,396,53,428,86
QPSNO1.jpg,0,0,normal,450,52,482,85
QPSNO1.jpg,0,0,normal,503,52,535,85
QPSNO1.jpg,0,0,normal,557,52,589,85
QPSNO1.jpg,0,0,normal,587,52,619,85
QPSNO1.jpg,0,0,normal,620,52,639,85
QPSNO1.jpg,0,0,normal,56,100,88,133
QPSNO1.jpg,0,0,normal,59,295,91,328
QPSNO1.jpg,0,0,normal,59,327,91,360
QPSNO1.jpg,0,0,normal,59,358,91,391
QPSNO1.jpg,0,0,normal,135,336,167,369
QPSNO2.jpg,0,0,normal,61,57,88,86
QPSNO2.jpg,0,0,normal,96,58,123,87
QPSNO2.jpg,0,0,normal,125,58,152,87
QPSNO2.jpg,0,0,normal,344,57,371,86
QPSNO2.jpg,0,0,normal,373,57,402,86
QPSNO2.jpg,0,0,normal,407,55,436,84
QPSNO2.jpg,0,0,normal,449,56,478,85
QPSNO2.jpg,0,0,normal,617,56,639,85
QPSNO2.jpg,0,0,normal,36,130,63,159
QPSNO3.jpg,0,0,normal,75,57,104,87
QPSNO3.jpg,0,0,normal,121,56,150,86
QPSNO3.jpg,0,0,normal,208,55,237,85
QPSNO3.jpg,0,0,normal,239,55,268,85
QPSNO3.jpg,0,0,normal,270,55,299,85
QPSNO3.jpg,0,0,normal,301,55,330,85
QPSNO3.jpg,0,0,normal,333,55,362,85
QPSNO3.jpg,0,0,normal,364,54,393,84
QPSNO3.jpg,0,0,normal,455,55,484,85
QPSNO3.jpg,0,0,normal,432,129,461,159
QPSNO3.jpg,0,0,normal,490,57,519,87
QPSNO3.jpg,0,0,normal,521,56,550,86
QPSNO4.jpg,0,0,normal,112,199,142,226
QPSNO4.jpg,0,0,normal,152,198,182,225
QPSNO4.jpg,0,0,normal,194,197,224,224
QPSNO4.jpg,0,0,normal,235,197,265,224
QPSNO4.jpg,0,0,normal,275,197,305,224
QPSNO4.jpg,0,0,normal,317,196,347,223
QPSNO4.jpg,0,0,normal,357,197,387,224
QPSNO4.jpg,0,0,normal,399,197,429,224
QPSNO4.jpg,0,0,normal,439,197,469,224
QPSNO4.jpg,0,0,normal,481,197,511,224
QPSNO4.jpg,0,0,normal,522,197,552,224
QPSNO4.jpg,0,0,normal,563,197,593,224
QPSNO4.jpg,0,0,normal,542,239,572,266
QPSNO4.jpg,0,0,normal,501,239,531,266
QPSNO4.jpg,0,0,normal,460,238,490,265
QPSNO4.jpg,0,0,normal,378,238,408,265
QPSNO4.jpg,0,0,normal,337,238,367,265
QPSNO4.jpg,0,0,normal,297,238,327,265
QPSNO4.jpg,0,0,normal,215,239,245,266
QPSNO4.jpg,0,0,normal,174,238,204,265
QPSNO4.jpg,0,0,normal,132,239,162,266
QPSNO4.jpg,0,0,normal,112,280,142,307
QPSNO4.jpg,0,0,normal,153,280,183,307
QPSNO4.jpg,0,0,normal,194,280,224,307
QPSNO4.jpg,0,0,normal,235,279,265,306
QPSNO4.jpg,0,0,normal,276,279,306,306
QPSNO4.jpg,0,0,normal,317,279,347,306
QPSNO4.jpg,0,0,normal,357,278,387,305
QPSNO4.jpg,0,0,normal,398,279,428,306
QPSNO4.jpg,0,0,normal,439,279,469,306
QPSNO4.jpg,0,0,normal,480,279,510,306
QPSNO4.jpg,0,0,normal,521,279,551,306
QPSNO4.jpg,0,0,normal,562,279,592,306
QPSNO4.jpg,0,0,normal,81,396,111,423
QPSNO4.jpg,0,0,normal,42,395,72,422
QPSNO4.jpg,0,0,normal,13,395,43,422
QPSNO4.jpg,0,0,normal,567,5,597,32
